book_id,author,title,text_path,graph_path,philosophy,society,religion,love,death,nature,war,identity
1998,"Nietzsche, Friedrich Wilhelm",Thus Spake Zarathustra: A Book for All and None,"D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\1998_Thus_Spake_Zarathustra__A_Book_for_All_and_None.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\1998_Thus_Spake_Zarathustra__A_Book_for_All_and_None_thoughtmap.png",0.162854,0.07057,0.151592,0.092866,0.120113,0.154824,0.091058,0.156123
4363,"Nietzsche, Friedrich Wilhelm",Beyond Good and Evil,"D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\4363_Beyond_Good_and_Evil.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\4363_Beyond_Good_and_Evil_thoughtmap.png",0.236007,0.033861,0.1616,0.064825,0.186532,0.110858,0.057797,0.148521
52190,"Nietzsche, Friedrich Wilhelm","Ecce Homo: Complete Works, Volume Seventeen","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\52190_Ecce_Homo__Complete_Works,_Volume_Seventeen.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\52190_Ecce_Homo__Complete_Works,_Volume_Seventeen_thoughtmap.png",0.156529,0.038947,0.129382,0.11544,0.1543,0.139982,0.089186,0.176234
51356,"Nietzsche, Friedrich Wilhelm","The Birth of Tragedy; or, Hellenism and Pessimism","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\51356_The_Birth_of_Tragedy;_or,_Hellenism_and_Pessimism.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\51356_The_Birth_of_Tragedy;_or,_Hellenism_and_Pessimism_thoughtmap.png",0.141656,0.024905,0.131606,0.112767,0.20926,0.143208,0.106986,0.129612
52319,"Nietzsche, Friedrich Wilhelm","The Genealogy of Morals: The Complete Works, Volume Thirteen, edited by Dr. Oscar Levy.","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\52319_The_Genealogy_of_Morals__The_Complete_Works,_Volume_Thirteen,_edited_by_Dr._Oscar_Levy..txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\52319_The_Genealogy_of_Morals__The_Complete_Works,_Volume_Thirteen,_edited_by_Dr._Oscar_Levy._thoughtmap.png",0.1831,0.130782,0.149665,0.074047,0.105042,0.124244,0.096237,0.136883
52263,"Nietzsche, Friedrich Wilhelm","The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist: Complete Works, Volume Sixteen","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\52263_The_Twilight_of_the_Idols;_or,_How_to_Philosophize_with_the_Hammer._The_Antichrist__Complete_Works,_.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\52263_The_Twilight_of_the_Idols;_or,_How_to_Philosophize_with_the_Hammer._The_Antichrist__Complete_Works,__thoughtmap.png",0.180916,0.0,0.181022,0.094658,0.121776,0.156198,0.113536,0.151895
25012,"Nietzsche, Friedrich Wilhelm","The Case of Wagner, Nietzsche Contra Wagner, and Selected Aphorisms.","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\25012_The_Case_of_Wagner,_Nietzsche_Contra_Wagner,_and_Selected_Aphorisms..txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\25012_The_Case_of_Wagner,_Nietzsche_Contra_Wagner,_and_Selected_Aphorisms._thoughtmap.png",0.174519,0.059261,0.13006,0.068619,0.16234,0.169428,0.093168,0.142606
19322,"Nietzsche, Friedrich Wilhelm",The Antichrist,"D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\19322_The_Antichrist.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\19322_The_Antichrist_thoughtmap.png",0.232321,0.032665,0.101249,0.05629,0.15195,0.31325,0.017176,0.0951
38145,"Nietzsche, Friedrich Wilhelm","Human, All Too Human: A Book for Free Spirits","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\38145_Human,_All_Too_Human__A_Book_for_Free_Spirits.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\38145_Human,_All_Too_Human__A_Book_for_Free_Spirits_thoughtmap.png",0.205602,0.101765,0.131746,0.084619,0.112795,0.137072,0.051338,0.175064
52915,"Nietzsche, Friedrich Wilhelm",The Will to Power: An Attempted Transvaluation of All Values. Book III and IV,"D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\52915_The_Will_to_Power__An_Attempted_Transvaluation_of_All_Values._Book_III_and_IV.txt","D:\ThoughtMap\gutendex_books\Nietzsche,_Friedrich_Wilhelm\graphs\52915_The_Will_to_Power__An_Attempted_Transvaluation_of_All_Values._Book_III_and_IV_thoughtmap.png",0.135923,0.084568,0.093541,0.062748,0.11217,0.17771,0.145122,0.188219
1600,Plato,Symposium,D:\ThoughtMap\gutendex_books\Plato\1600_Symposium.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1600_Symposium_thoughtmap.png,0.184649,0.043536,0.162929,0.107799,0.152597,0.150542,0.042539,0.15541
1658,Plato,Phaedo,D:\ThoughtMap\gutendex_books\Plato\1658_Phaedo.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1658_Phaedo_thoughtmap.png,0.179945,0.068121,0.133063,0.108873,0.159655,0.161195,0.071133,0.118014
1636,Plato,Phaedrus,D:\ThoughtMap\gutendex_books\Plato\1636_Phaedrus.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1636_Phaedrus_thoughtmap.png,0.176748,0.066981,0.14385,0.160417,0.115158,0.13548,0.057201,0.144166
1656,Plato,Apology,D:\ThoughtMap\gutendex_books\Plato\1656_Apology.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1656_Apology_thoughtmap.png,0.236858,0.024201,0.14881,0.094031,0.163221,0.130062,0.062228,0.140588
55201,Plato,The Republic of Plato,D:\ThoughtMap\gutendex_books\Plato\55201_The_Republic_of_Plato.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\55201_The_Republic_of_Plato_thoughtmap.png,0.176453,0.079136,0.152688,0.082402,0.103999,0.152451,0.087503,0.165369
1672,Plato,Gorgias,D:\ThoughtMap\gutendex_books\Plato\1672_Gorgias.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1672_Gorgias_thoughtmap.png,0.199117,0.061139,0.142753,0.118164,0.125114,0.144415,0.075543,0.133755
1750,Plato,Laws,D:\ThoughtMap\gutendex_books\Plato\1750_Laws.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1750_Laws_thoughtmap.png,0.268898,0.071687,0.146465,0.044347,0.181196,0.093368,0.0527,0.14134
1572,Plato,Timaeus,D:\ThoughtMap\gutendex_books\Plato\1572_Timaeus.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1572_Timaeus_thoughtmap.png,0.154802,0.077532,0.103953,0.114174,0.130821,0.186214,0.082553,0.149952
1726,Plato,Theaetetus,D:\ThoughtMap\gutendex_books\Plato\1726_Theaetetus.txt,D:\ThoughtMap\gutendex_books\Plato\graphs\1726_Theaetetus_thoughtmap.png,0.190682,0.091833,0.139279,0.13687,0.11826,0.133921,0.053842,0.135314
2680,"Marcus Aurelius, Emperor of Rome",Meditations,"D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\2680_Meditations.txt","D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\graphs\2680_Meditations_thoughtmap.png",0.160896,0.052571,0.159668,0.100754,0.147618,0.162636,0.096356,0.1195
15877,"Marcus Aurelius, Emperor of Rome",Thoughts of Marcus Aurelius Antoninus,"D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\15877_Thoughts_of_Marcus_Aurelius_Antoninus.txt","D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\graphs\15877_Thoughts_of_Marcus_Aurelius_Antoninus_thoughtmap.png",0.181709,0.043556,0.116918,0.114085,0.158699,0.174993,0.067652,0.142387
55317,"Marcus Aurelius, Emperor of Rome",The Meditations of the Emperor Marcus Aurelius Antoninus: A new rendering based on the Foulis translation of 1742,"D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\55317_The_Meditations_of_the_Emperor_Marcus_Aurelius_Antoninus__A_new_rendering_based_on_the_Foulis_transl.txt","D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\graphs\55317_The_Meditations_of_the_Emperor_Marcus_Aurelius_Antoninus__A_new_rendering_based_on_the_Foulis_transl_thoughtmap.png",0.134164,0.066837,0.107887,0.100498,0.144408,0.185471,0.10672,0.154014
34122,"Dill, Samuel",Roman Society from Nero to Marcus Aurelius,"D:\ThoughtMap\gutendex_books\Dill,_Samuel\34122_Roman_Society_from_Nero_to_Marcus_Aurelius.txt","D:\ThoughtMap\gutendex_books\Dill,_Samuel\graphs\34122_Roman_Society_from_Nero_to_Marcus_Aurelius_thoughtmap.png",0.179822,0.08209,0.047773,0.065887,0.138468,0.262854,0.107217,0.115888
59784,"Marcus Aurelius, Emperor of Rome",Index of the Project Gutenberg Works of Marcus Aurelius Antoninus,"D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\59784_Index_of_the_Project_Gutenberg_Works_of_Marcus_Aurelius_Antoninus.txt","D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\graphs\59784_Index_of_the_Project_Gutenberg_Works_of_Marcus_Aurelius_Antoninus_thoughtmap.png",0.116556,0.03373,0.107025,0.117788,0.167894,0.197543,0.135105,0.124359
6920,"Marcus Aurelius, Emperor of Rome",Thoughts of Marcus Aurelius,"D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\6920_Thoughts_of_Marcus_Aurelius.txt","D:\ThoughtMap\gutendex_books\Marcus_Aurelius,_Emperor_of_Rome\graphs\6920_Thoughts_of_Marcus_Aurelius_thoughtmap.png",0.136467,0.042318,0.133819,0.117761,0.135346,0.186408,0.103119,0.144761
7525,"Cruttwell, Charles Thomas",The History of Roman Literature: From the Earliest Period to the Death of Marcus Aurelius,"D:\ThoughtMap\gutendex_books\Cruttwell,_Charles_Thomas\7525_The_History_of_Roman_Literature__From_the_Earliest_Period_to_the_Death_of_Marcus_Aurelius.txt","D:\ThoughtMap\gutendex_books\Cruttwell,_Charles_Thomas\graphs\7525_The_History_of_Roman_Literature__From_the_Earliest_Period_to_the_Death_of_Marcus_Aurelius_thoughtmap.png",0.15163,0.030013,0.107336,0.122665,0.238703,0.104737,0.081153,0.163763
42865,"Renan, Ernest",English Conferences of Ernest Renan: Rome and Christianity. Marcus Aurelius,"D:\ThoughtMap\gutendex_books\Renan,_Ernest\42865_English_Conferences_of_Ernest_Renan__Rome_and_Christianity._Marcus_Aurelius.txt","D:\ThoughtMap\gutendex_books\Renan,_Ernest\graphs\42865_English_Conferences_of_Ernest_Renan__Rome_and_Christianity._Marcus_Aurelius_thoughtmap.png",0.14423,0.064019,0.171464,0.135641,0.111543,0.150368,0.078051,0.144685
78320,"Joy, John C. (John Chrisentia)",The Emperor Marcus Aurelius : $b A study in ideals,"D:\ThoughtMap\gutendex_books\Joy,_John_C._(John_Chrisentia)\78320_The_Emperor_Marcus_Aurelius___$b_A_study_in_ideals.txt","D:\ThoughtMap\gutendex_books\Joy,_John_C._(John_Chrisentia)\graphs\78320_The_Emperor_Marcus_Aurelius___$b_A_study_in_ideals_thoughtmap.png",0.040136,0.069297,0.073815,0.138964,0.192061,0.170481,0.14341,0.171835
98,"Dickens, Charles",A Tale of Two Cities,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\98_A_Tale_of_Two_Cities.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\98_A_Tale_of_Two_Cities_thoughtmap.png",0.07369,0.110548,0.042019,0.110859,0.180598,0.224551,0.108812,0.148923
25851,"Forster, John","The Life of Charles Dickens, Vol. I-III, Complete","D:\ThoughtMap\gutendex_books\Forster,_John\25851_The_Life_of_Charles_Dickens,_Vol._I-III,_Complete.txt","D:\ThoughtMap\gutendex_books\Forster,_John\graphs\25851_The_Life_of_Charles_Dickens,_Vol._I-III,_Complete_thoughtmap.png",0.158263,0.076153,0.113701,0.121402,0.212589,0.145095,0.046864,0.125933
1400,"Dickens, Charles",Great Expectations,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\1400_Great_Expectations.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\1400_Great_Expectations_thoughtmap.png",0.081985,0.093298,0.03818,0.165242,0.200578,0.210503,0.064132,0.146084
564,"Dickens, Charles",The Mystery of Edwin Drood,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\564_The_Mystery_of_Edwin_Drood.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\564_The_Mystery_of_Edwin_Drood_thoughtmap.png",0.157004,0.120311,0.115171,0.094393,0.170681,0.168029,0.065977,0.108434
46,"Dickens, Charles",A Christmas Carol in Prose; Being a Ghost Story of Christmas,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\46_A_Christmas_Carol_in_Prose;_Being_a_Ghost_Story_of_Christmas.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\46_A_Christmas_Carol_in_Prose;_Being_a_Ghost_Story_of_Christmas_thoughtmap.png",0.164809,0.039771,0.119634,0.158787,0.186042,0.184682,0.015798,0.130479
766,"Dickens, Charles",David Copperfield,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\766_David_Copperfield.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\766_David_Copperfield_thoughtmap.png",0.134679,0.084712,0.086316,0.106586,0.192437,0.115702,0.080881,0.198688
47530,"Dickens, Charles","Oliver Twist, Vol. 2 (of 3)","D:\ThoughtMap\gutendex_books\Dickens,_Charles\47530_Oliver_Twist,_Vol._2_(of_3).txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\47530_Oliver_Twist,_Vol._2_(of_3)_thoughtmap.png",0.058771,0.029143,0.000969,0.175107,0.19373,0.220158,0.177783,0.144339
1023,"Dickens, Charles",Bleak House,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\1023_Bleak_House.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\1023_Bleak_House_thoughtmap.png",0.153955,0.098278,0.147736,0.097788,0.169806,0.15085,0.069939,0.111649
730,"Dickens, Charles",Oliver Twist,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\730_Oliver_Twist.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\730_Oliver_Twist_thoughtmap.png",0.110315,0.080201,0.033987,0.128074,0.202157,0.18533,0.112616,0.147318
9695,"Dickens, Charles",Bleak House,"D:\ThoughtMap\gutendex_books\Dickens,_Charles\9695_Bleak_House.txt","D:\ThoughtMap\gutendex_books\Dickens,_Charles\graphs\9695_Bleak_House_thoughtmap.png",0.132257,0.0,0.0,0.136404,0.332282,0.303827,0.0,0.09523
2600,"Tolstoy, Leo, graf",War and Peace,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\2600_War_and_Peace.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\2600_War_and_Peace_thoughtmap.png",0.053479,0.094431,0.109682,0.101177,0.123793,0.162407,0.27323,0.081801
1399,"Tolstoy, Leo, graf",Anna Karenina,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\1399_Anna_Karenina.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\1399_Anna_Karenina_thoughtmap.png",0.084614,0.167816,0.090185,0.202408,0.153858,0.104035,0.035657,0.161427
28920,"Tolstoy, Leo, graf","War and Peace, Book 01: 1805","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\28920_War_and_Peace,_Book_01__1805.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\28920_War_and_Peace,_Book_01__1805_thoughtmap.png",0.140389,0.057622,0.121743,0.077335,0.152031,0.159799,0.223132,0.067948
27726,"Tolstoy, Leo, graf",Tolstoy on Shakespeare: A Critical Essay on Shakespeare,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\27726_Tolstoy_on_Shakespeare__A_Critical_Essay_on_Shakespeare.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\27726_Tolstoy_on_Shakespeare__A_Critical_Essay_on_Shakespeare_thoughtmap.png",0.326783,0.0,0.161801,0.0,0.122907,0.221202,0.008285,0.159023
6157,"Tolstoy, Leo, graf","What Men Live By, and Other Tales","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\6157_What_Men_Live_By,_and_Other_Tales.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\6157_What_Men_Live_By,_and_Other_Tales_thoughtmap.png",0.130522,0.104021,0.141203,0.113615,0.173852,0.117462,0.086695,0.13263
64908,"Tolstoy, Leo, graf",What Is Art?,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\64908_What_Is_Art.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\64908_What_Is_Art_thoughtmap.png",0.165072,0.108376,0.11702,0.153512,0.088509,0.123292,0.100859,0.143358
26663,"Tolstoy, Leo, graf",Fruits of Culture,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\26663_Fruits_of_Culture.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\26663_Fruits_of_Culture_thoughtmap.png",0.193429,0.069206,0.148547,0.088934,0.083075,0.222849,0.065048,0.128912
26661,"Tolstoy, Leo, graf",The Power of Darkness,"D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\26661_The_Power_of_Darkness.txt","D:\ThoughtMap\gutendex_books\Tolstoy,_Leo,_graf\graphs\26661_The_Power_of_Darkness_thoughtmap.png",0.202647,0.0,0.098366,0.058695,0.122605,0.261704,0.126898,0.129085
